"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toiyabe","Birch","BI0B1",30,31,1900,0.833333333,4,0.571428571428571,94,235,0.714285714285714,16,206,132,60,0.720588235294118
"Toiyabe","Birch","BI0B2",29,31,1920,0.833333333,4,0.523809523809524,94,235,0.714285714285714,16,205,132,60,0.720588235294118
"Toiyabe","Birch","BI0B3",29,31,1929,0.833333333,4,0.714285714285714,94,235,0.714285714285714,16,208,132,60,0.720588235294118
"Toiyabe","Birch","BI0B4",17,31,1960,0.833333333,4,0.571428571428571,94,235,0.714285714285714,16,227,132,60,0.720588235294118
"Toiyabe","Birch","BISG01",20,31,1923,0.833333333,4,0.619047619047619,94,235,0.714285714285714,16,220,164,60,0.720588235294118
"Toiyabe","Birch","BISG02",20,31,1919,0.833333333,4,0.476190476190476,94,235,0.714285714285714,16,234,164,60,0.720588235294118
"Toiyabe","Birch","BISG03",18,31,1905,0.833333333,4,0.714285714285714,94,235,0.714285714285714,16,205,164,60,0.720588235294118
"Toiyabe","Birch","BISG04",13,22,1904,0.833333333,4,0.8125,94,235,0.714285714285714,16,188,164,60,0.720588235294118
"Toiyabe","Birch","BISG05",21,31,1898,0.833333333,4,0.80952380952381,94,235,0.714285714285714,16,215,164,60,0.720588235294118
"Toiyabe","Birch","BISG06",20,31,1894,0.833333333,4,0.714285714285714,94,235,0.714285714285714,16,206,164,60,0.720588235294118
"Toiyabe","Birch","BISG07",20,31,1894,0.833333333,4,0.523809523809524,94,235,0.714285714285714,16,204,164,60,0.720588235294118
"Toiyabe","Birch","BISG08",21,31,1886,0.833333333,4,0.238095238095238,94,235,0.714285714285714,16,206,164,60,0.720588235294118
"Monitor","Elkhorn","EH01",0,31,2275,1,2,0.0476190476190476,138,315,0.695364238410596,4,202,149,65,0.714912280701754
"Monitor","Elkhorn","EH02",0,31,2318,1,2,0.238095238095238,138,315,0.695364238410596,4,215,149,65,0.714912280701754
"Monitor","Elkhorn","EH03",3,31,2334,1,2,0,138,315,0.695364238410596,4,180,149,65,0.714912280701754
"Monitor","Elkhorn","EH04",2,31,2351,1,2,0,138,315,0.695364238410596,4,240,149,65,0.714912280701754
"Monitor","Elkhorn","EHSG01",0,31,2307,1,2,0.0952380952380952,138,315,0.695364238410596,4,207,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG02",0,31,2302,1,2,0.904761904761905,138,315,0.695364238410596,4,202,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG03",3,31,2307,1,2,0.0476190476190476,138,315,0.695364238410596,4,197,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG04",0,31,2297,1,2,0.142857142857143,138,315,0.695364238410596,4,199,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG05",0,31,2319,1,2,0,138,315,0.695364238410596,4,205,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG06",1,31,2304,1,2,0.0476190476190476,138,315,0.695364238410596,4,202,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG07",0,30,2320,1,2,0,138,315,0.695364238410596,4,213,163,65,0.714912280701754
