"range","area","pt","yr","occ","elev","burn","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toiyabe","Grass Springs","GSSG09","2011",1,2112,1,1,187,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG10","2011",1,2109,1,1,204,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG11","2011",1,2117,1,1,186,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG12","2011",1,2110,1,1,196,182,73,0.713725490196078
"Shoshone","Underdown","High.Burned.M.1","2006",0,2349.1,1,0,157,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Burned.M.2","2006",0,2345.7,1,0,201,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Burned.M.3","2006",0,2346.4,1,0,180,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Control.M.1","2001",1,2362.5,0,0,196,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Control.M.2","2006",0,2355.3,0,0,186,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Control.M.3","2006",0,2362.8,0,0,154,239.005,107.95,0.704301660232132
"Toiyabe","Jett","JE01.1","2006",1,1972,0,0,213,73,30,0.745762711864407
"Toiyabe","Jett","JE01.2","2006",1,1978,0,0,201,73,30,0.745762711864407
"Toiyabe","Jett","JE01.3","2006",1,2016,0,0,200,73,30,0.745762711864407
"Toiyabe","Jett","JE02.1","2012",1,2051,0,0,208,166,100,0.718274111675127
"Toiyabe","Jett","JE02.2","2013",1,2085,0,0,219,166,100,0.718274111675127
"Toiyabe","Jett","JE02.3","2006",1,2115,0,0,220,166,100,0.718274111675127
"Toiyabe","Jett","JE03.1","2006",1,2143,0,0,222,166,100,0.718274111675127
"Toiyabe","Jett","JE03.2","2006",1,2156,0,0,196,166,100,0.718274111675127
"Toiyabe","Jett","JE03.3","2013",1,2190,0,0,126,165,79,0.692028459416292
"Shoshone","Underdown","Low.Burned.M.1","2001",1,2092.9,0,0,158,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2","2003",1,2092.2,1,0,176,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3","2001",1,2085.7,0,0,183,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Control.M.1","2006",0,2065.5,0,0,187,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2","2004",1,2060.9,0,0,187,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3","2001",1,2062.5,0,0,188,106.805,56.515,0.63747088796765
"Toquima","Meadow","MD01.1","2015",0,2259,0,1,205,147,78,0.716294048430049
"Toquima","Meadow","MD01.2","2013",1,2273,0,1,204,147,78,0.716294048430049
"Toquima","Meadow","MD01.3","2015",0,2302,0,1,203,147,78,0.716294048430049
"Toquima","Meadow","MD02.1","2015",0,2342,0,1,186,147,78,0.716294048430049
"Toquima","Meadow","MD02.2","2015",0,2368,0,1,208,147,78,0.716294048430049
"Toquima","Meadow","MD02.3","2015",0,2384,0,1,201,176.5,92.5,0.717783052039381
"Toquima","Meadow","MD03.1","2015",0,2447,0,1,202,190,98.5,0.720469477578618
"Toquima","Meadow","MD03.2","2015",0,2495,0,1,200,190,98.5,0.720469477578618
"Toquima","Meadow","MD04.1","2015",0,2577,0,1,187,176.5,92.5,0.717783052039381
"Toquima","Meadow","MD04.2","2015",0,2619,0,1,169,190,98.5,0.720469477578618
"Toquima","Meadow","MD05.1","2015",0,2660,0,1,210,190,98.5,0.720469477578618
"Toquima","Meadow","MD05.2","2015",0,2674,0,1,209,180,96.5,0.714021263813795
"Toquima","Moores East","ME01.1","2012",1,2543,0,1,198,133,49,0.730769230769231
"Toquima","Moores East","ME01.2","2013",1,2509,0,1,205,133,49,0.730769230769231
"Toquima","Moores East","ME02.1","2015",0,2452,0,1,209,133,49,0.730769230769231
"Toquima","Moores East","ME02.2","2012",1,2432,0,1,193,133,49,0.730769230769231
"Toquima","Moores East","ME03.1","2015",0,2327,0,1,228,133,49,0.730769230769231
"Toquima","Moores East","ME03.2","2015",0,2303,0,1,194,133,49,0.730769230769231
"Toquima","Moores East","ME04.1","2012",1,2228,0,1,208,110,41,0.728476821192053
"Toquima","Moores East","ME04.2","2012",1,2196,0,1,222,110,41,0.728476821192053
"Shoshone","Underdown","Mid.Burned.E.1","2001",1,2234.2,0,0,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2","2001",1,2239.7,0,0,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3","2003",1,2236.9,1,0,195,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1","2001",1,2215.5,0,0,193,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2","2006",1,2215.5,1,0,206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3","2001",1,2223.4,0,0,188,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1","2003",1,2228.7,1,0,196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2","2001",1,2234.9,0,0,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3","2003",1,2232.5,1,0,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.1","2006",0,2212.1,0,0,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2","2006",1,2206.8,0,0,196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3","2001",1,2201.3,0,0,196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1","2003",1,2191.7,0,0,203,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.2","2006",0,2174.9,0,0,206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3","2001",1,2179.2,0,0,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1","2001",1,2182.8,0,0,197,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2","2001",1,2206.1,0,0,202,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.3","2001",1,2186.9,0,0,191,150.63,78.48,0.620887879812569
"Toquima","Moores West","MW01.1","2015",0,2092,0,0,220,93,34,0.732283464566929
