"range","area","pt","yr","brte","nsamp","mtype","elev","burn","graze","pgraze","igrassf","tburn","pgrassf","sppr","wtpr"
"Toiyabe","Summit","SU03.1",2006,0,10,1,2280,0,0,0,NA,NA,NA,70,166
"Toiyabe","Summit","SU03.2",2006,0,10,1,2311,0,0,0,NA,NA,NA,70,166
"Toiyabe","Summit","SU04.1",2006,1,10,1,2350,0,0,0,NA,NA,NA,70,166
"Toiyabe","Summit","SU04.2",2006,0,10,1,2409,0,0,0,NA,NA,NA,115,356
"Toiyabe","Summit","SU05.1",2006,4,10,1,2468,0,0,0,NA,NA,NA,113,351
"Toiyabe","Summit","SU05.2",2006,5,10,1,2523,0,0,0,NA,NA,NA,113,351
"Toiyabe","Summit","SU06.1",2006,0,10,1,2575,0,0,0,NA,NA,NA,113,351
"Toiyabe","Summit","SU06.2",2006,0,10,1,2587,0,0,0,NA,NA,NA,113,351
"Toiyabe","Stewart","SW00.1",2006,0,31,1,2605,0,0,0,NA,NA,0.952380952380952,102,286
"Toiyabe","Stewart","SW01.1",2006,0,31,1,2635,0,0,0,NA,NA,0.714285714285714,102,286
"Toiyabe","Stewart","SW01.2",2006,0,31,1,2667,0,0,0,NA,NA,0.761904761904762,102,286
"Toiyabe","Stewart","SW02.1",2006,0,31,1,2731,0,0,0,NA,NA,0.904761904761905,143,419
