state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,grazed,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed,prop_grazed
Nevada,Toiyabe,Jett,JE03.2,9,3,point,2006,2156,0,NA,,,,,,,283,111,478552,4287654,0,0
Nevada,Toquima,Meadow,MD01.1,10,0,point,2006,2259,0,NA,,,,,,,245,90,512295,4277782,1,1
Nevada,Toquima,Meadow,MD01.2,10,0,point,2006,2273,0,NA,,,,,,,245,90,511844,4278222,1,1
Nevada,Toquima,Meadow,MD01.3,10,0,point,2006,2302,0,NA,,,,,,,245,90,511062,4279066,1,1
Nevada,Toquima,Meadow,MD02.1,10,0,point,2006,2342,0,NA,,,,,,,245,90,510018,4280073,1,1
Nevada,Toquima,Meadow,MD02.2,10,0,point,2006,2368,0,NA,,,,,,,245,90,509176,4280604,1,1
Nevada,Toquima,Meadow,MD02.3,10,0,point,2006,2384,0,NA,,,,,,,299,103,508562,4281002,1,1
Nevada,Toquima,Meadow,MD03.1,10,0,point,2006,2447,0,NA,,,,,,,323,108,507148,4282357,1,1
Nevada,Toquima,Meadow,MD03.2,10,0,point,2006,2495,0,NA,,,,,,,323,108,506561,4282170,1,1
Nevada,Toquima,Meadow,MD04.1,10,0,point,2006,2577,0,NA,,,,,,,299,103,505955,4281915,1,1
Nevada,Toquima,Meadow,MD04.2,10,0,point,2006,2619,0,NA,,,,,,,323,108,505683,4282116,1,1
Nevada,Toquima,Meadow,MD05.1,10,0,point,2006,2660,0,NA,,,,,,,323,108,505506,4282528,1,1
Nevada,Toquima,Meadow,MD05.2,10,0,point,2006,2674,0,NA,,,,,,,304,104,505212,4282660,1,1
Nevada,Toiyabe,Ophir,OP01.1,10,6,point,2006,1969,0,NA,,,,,,,166,70,478608,4310154,0,0
Nevada,Toiyabe,Ophir,OP01.2,10,0,point,2006,2033,0,NA,,,,,,,166,70,478207,4310375,0,0
Nevada,Toiyabe,Ophir,OP02.1,10,2,point,2006,2093,0,NA,,,,,,,166,70,477850,4310416,0,0
Nevada,Toiyabe,Ophir,OP02.2,10,1,point,2006,2167,0,NA,,,,,,,166,70,477519,4310331,0,0
Nevada,Toiyabe,Ophir,OP03.1,10,0,point,2006,2248,0,NA,,,,,,,166,70,477123,4310512,0,0
Nevada,Toiyabe,Ophir,OP03.2,10,6,point,2006,2278,0,NA,,,,,,,166,70,476818,4310735,0,0
Nevada,Toiyabe,Ophir,OP04.1,10,0,point,2006,2368,0,NA,,,,,,,356,115,475875,4310641,0,0
Nevada,Toiyabe,Ophir,OP05.1,10,2,point,2006,2415,0,NA,,,,,,,356,115,475407,4310665,0,0
Nevada,Toiyabe,Ophir,OP05.2,10,0,point,2006,2477,0,NA,,,,,,,356,115,474938,4310724,0,0
Nevada,Toiyabe,Ophir,OP06.2,5,3,point,2006,2626,0,NA,,,,,,,356,115,473902,4310610,0,0
Nevada,Toiyabe,Ophir,OP07.1,10,0,point,2006,2688,0,NA,,,,,,,356,115,473586,4310655,0,0
Nevada,Toiyabe,Ophir,OP08.1,10,0,point,2006,2822,0,NA,,,,,,,356,115,473340,4310304,0,0
Nevada,Toiyabe,Ophir,OP09.1,10,0,point,2006,2888,0,NA,,,,,,,356,115,473110,4310337,0,0
Nevada,Toiyabe,Ophir,OP09.2,10,0,point,2006,2981,0,NA,,,,,,,365,118,472702,4310313,0,0
Nevada,Shoshone,Riley,RI01.1,25,6,point,2006,2065,0,NA,15,,6,,6,,178,71,463233,4329300,1,1
Nevada,Shoshone,Riley,RI01.2,31,5,point,2006,2115,0,NA,21,,10,,4,,178,71,462743,4329787,1,1
Nevada,Shoshone,Riley,RI02.1,31,3,point,2006,2147,0,NA,21,,17,,4,,178,71,462578,4330360,1,1
Nevada,Shoshone,Riley,RI02.2,31,2,point,2006,2182,0,NA,21,,14,,5,,178,71,462370,4330938,1,1
Nevada,Shoshone,Riley,RI03.1,31,1,point,2006,2259,0,NA,21,,20,,11,,178,71,462568,4332105,1,1
Nevada,Shoshone,Riley,RI03.2,31,0,point,2006,2305,0,NA,21,,11,,7,,178,71,462716,4332560,1,1
Nevada,Shoshone,Riley,RI04.1,31,0,point,2006,2368,0,NA,21,,18,,13,,238,85,462527,4333413,1,1
Nevada,Shoshone,Riley,RI04.2,31,0,point,2006,2412,0,NA,21,,19,,11,,238,85,462424,4334066,1,1
Nevada,Shoshone,Riley,RI05.1,31,7,point,2006,2483,0,NA,21,,15,,14,,349,108,462019,4334785,1,1
Nevada,Shoshone,Riley,RI05.2,31,0,point,2006,2545,0,NA,21,,16,,15,,238,85,462451,4334910,1,1
Nevada,Monitor,Ryegrass,RY01,31,0,point,2006,2144,0,NA,21,,5,,6,,151,64,550541,4337427,1,1
